Id,Name,Name_From,Latt,Longt,Timezone
5a13c906340c745ca1eb494b,Kubasovo,Iost,50.90637,45.74471,Europe/Saratov
5a13c906340c745ca1eb4963,Yuzhnyy,Starominskaya,46.65422,38.975008,Europe/Moscow
5a13c906340c745ca1eb4976,Penyakino,Polovnitskoye,58.21979,35.40192,Europe/Moscow
5a13c907340c745ca1eb497f,Shikhino,Pushkinskiye Gory,56.99775,28.79983,Europe/Moscow
5a13c907340c745ca1eb4983,Antelevo,Gatchina,59.60528,30.34917,Europe/Moscow
5a13c907340c745ca1eb4984,Kur’yanovo,Gagarin,55.56556,35.22583,Europe/Moscow
5a13c907340c745ca1eb4987,Lyubitskiy,Yablonovyy Ovrag,52.77353,50.03218,Europe/Samara
5a13c907340c745ca1eb49a3,Rybnoye,Vol’sk,51.987198,47.244943,Europe/Saratov
5a13c907340c745ca1eb49af,Fefelovo,Bologoye,57.85856,34.40871,Europe/Moscow
5a13c907340c745ca1eb49b8,Oktyabr’skoye,Razvilinskiy,46.501194,40.374942,Europe/Moscow
5a13c907340c745ca1eb49ba,Pleshkovo,Zubikhino,57.04128,31.77184,Europe/Moscow
5a13c907340c745ca1eb49bd,Sergiyevka,Michurinsk,52.60858,40.386333,Europe/Moscow
5a13c90a340c745ca1eb4a01,Donskoy,Zernograd,46.8499,40.5508,Europe/Moscow
